epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,628.811,1.19314,1.11869,0.99895,1.61296,0.72101,0.75043,0.74446,0.53133,0.5921,0.61277,0.55614,0.26039,1.18309,0.95944,1.0585,1.46417,2.76e-05,2.76e-05,2.76e-05
30,651.263,1.14317,1.01388,0.97242,1.62441,0.73012,0.73845,0.7432,0.53476,0.60529,0.6079,0.55816,0.25996,1.17914,0.95995,1.06661,1.46306,2.68e-05,2.68e-05,2.68e-05
31,673.724,1.23015,1.13088,1.02927,1.64429,0.74032,0.72253,0.7413,0.53428,0.61318,0.59459,0.55213,0.26153,1.17196,0.95848,1.06896,1.45758,2.6e-05,2.6e-05,2.6e-05
32,695.598,1.2033,1.1209,0.96705,1.60401,0.73847,0.72384,0.73781,0.53101,0.60925,0.59112,0.54799,0.26018,1.16937,0.95432,1.07965,1.45669,2.52e-05,2.52e-05,2.52e-05
33,715.766,1.16023,1.0934,0.97651,1.60384,0.72855,0.73797,0.73797,0.53684,0.59731,0.6054,0.54725,0.25813,1.16088,0.95849,1.08069,1.46153,2.44e-05,2.44e-05,2.44e-05
34,735.697,1.1396,1.06754,0.95143,1.55245,0.71168,0.73423,0.73495,0.53146,0.5724,0.60729,0.54353,0.25731,1.16098,0.96401,1.08886,1.45878,2.36e-05,2.36e-05,2.36e-05
35,756.894,1.19933,1.12476,0.9853,1.60959,0.70478,0.73436,0.73491,0.53053,0.57772,0.59592,0.54374,0.25565,1.16679,0.96788,1.08595,1.45761,2.28e-05,2.28e-05,2.28e-05
36,776.434,1.167,1.06215,0.93854,1.58232,0.71034,0.73715,0.7351,0.52844,0.57517,0.58331,0.54102,0.25439,1.16321,0.96562,1.09306,1.45231,2.2e-05,2.2e-05,2.2e-05
37,797.296,1.12268,1.00196,0.9282,1.5726,0.7172,0.72736,0.73576,0.52895,0.58532,0.5845,0.54483,0.25875,1.159,0.96363,1.08479,1.4526,2.12e-05,2.12e-05,2.12e-05
38,817.564,1.20809,1.11592,0.99165,1.60366,0.71951,0.73474,0.73936,0.53131,0.59712,0.59955,0.55634,0.26451,1.16429,0.95544,1.0742,1.44996,2.04e-05,2.04e-05,2.04e-05
39,839.711,1.18782,1.03428,0.96802,1.5771,0.73417,0.73425,0.74135,0.53411,0.60578,0.60536,0.55632,0.26471,1.15666,0.94888,1.0698,1.44862,1.96e-05,1.96e-05,1.96e-05
40,860.895,1.17321,1.09313,0.98446,1.64425,0.73595,0.71512,0.73983,0.53276,0.61196,0.58182,0.55889,0.26131,1.15761,0.9492,1.0683,1.44875,1.88e-05,1.88e-05,1.88e-05
41,885.249,1.02616,0.90096,0.84546,1.52361,0.73619,0.7064,0.73491,0.52885,0.61584,0.57962,0.55415,0.25922,1.16221,0.95271,1.07932,1.44609,1.8e-05,1.8e-05,1.8e-05
42,902.838,1.03822,0.90323,0.82295,1.53804,0.74818,0.70501,0.7347,0.52811,0.6303,0.5621,0.5483,0.2596,1.16686,0.9578,1.0756,1.44582,1.72e-05,1.72e-05,1.72e-05
43,920.564,1.06762,0.94151,0.83581,1.50692,0.77195,0.68816,0.73286,0.52331,0.62485,0.5641,0.54673,0.2567,1.16558,0.96438,1.07883,1.44701,1.64e-05,1.64e-05,1.64e-05
44,939.024,1.04739,0.95001,0.84088,1.52315,0.77566,0.68389,0.73343,0.52771,0.64267,0.55325,0.54268,0.25403,1.16809,0.96722,1.08257,1.44617,1.56e-05,1.56e-05,1.56e-05
45,957.79,1.04202,0.91847,0.84194,1.51355,0.77509,0.69005,0.73813,0.53344,0.63869,0.55697,0.54443,0.24568,1.16484,0.97297,1.08184,1.44935,1.48e-05,1.48e-05,1.48e-05
46,976.023,1.04877,0.90421,0.85005,1.52257,0.78113,0.69355,0.73823,0.53286,0.6424,0.56792,0.55124,0.24732,1.15883,0.97727,1.08152,1.44644,1.4e-05,1.4e-05,1.4e-05
47,993.675,1.03858,0.92801,0.81506,1.51098,0.76824,0.6781,0.7372,0.5337,0.60385,0.57658,0.55207,0.24556,1.16036,0.97684,1.07963,1.44443,1.32e-05,1.32e-05,1.32e-05
48,1011.65,1.01746,0.91702,0.81789,1.51501,0.72671,0.70725,0.73856,0.53479,0.60447,0.57645,0.54554,0.24672,1.1553,0.97506,1.07616,1.44616,1.24e-05,1.24e-05,1.24e-05
49,1031.02,1.01835,0.88917,0.82492,1.51745,0.72901,0.71238,0.73534,0.53263,0.61542,0.58132,0.54577,0.2483,1.14894,0.97504,1.08025,1.43876,1.16e-05,1.16e-05,1.16e-05
50,1048.77,1.04585,0.91895,0.8202,1.50605,0.73595,0.7029,0.73399,0.5336,0.62267,0.57605,0.54523,0.24914,1.14558,0.96767,1.08219,1.4405,1.08e-05,1.08e-05,1.08e-05
